"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall"
34003019305,"Fort Lee, NJ",59983
36061007400,"Midtown, New York, NY",59953
36047035601,"Kings County, NY",59943
36081155102,"Queens County, NY",59928
34023001416,"Edison, NJ",59927
36081074100,"Queens County, NY",59882
34031154002,"Little Falls, NJ",59867
36081045600,"Queens County, NY",59830
34003011300,"Elmwood Park, NJ",59783
34027040102,"Lincoln Park, NJ",59778
36047005201,"Kings County, NY",59775
36081013500,"Queens County, NY",59773
36081162100,"Queens County, NY",59727
36085013400,"Richmond County, NY",59726
36047045600,"Kings County, NY",59724
36081093900,"Queens County, NY",59716
36047069602,"Kings County, NY",59688
36059517301,"Glen Cove, NY",59570
36081070300,"Queens County, NY",59551
34031124321,"Clifton, NJ",59543
34027041702,"Lake Hiawatha, Parsippany-Troy Hills, NJ",59530
34003004002,"Bogota, NJ",59481
36061017500,"Upper West Side, New York, NY",59449
36061011402,"Upper East Side, New York, NY",59438
34039033400,"Union, NJ",59434
36081102900,"Queens County, NY",59431
34039032100,"Elizabeth, NJ",59398
34003019203,"Fort Lee, NJ",59349
34039034900,"Linden, NJ",59338
34023002401,"Colonia, Woodbridge Township, NJ",59332
36085009602,"Richmond County, NY",59318
36005025000,"Bronx County, NY",59302
36085020801,"Richmond County, NY",59293
34017011500,"Constable Hook, Bayonne, NJ",59259
36081065900,"Queens County, NY",59251
34023002302,"Colonia, Woodbridge Township, NJ",59242
36047054400,"Kings County, NY",59234
36047000501,"Kings County, NY",59225
36047006300,"Kings County, NY",59217
36047006600,"Kings County, NY",59209
34027040900,"Boonton, NJ",59191
36047029400,"Kings County, NY",59188
36047044600,"Kings County, NY",59187
36047068800,"Kings County, NY",59152
34023002301,"Colonia, Woodbridge Township, NJ",59137
36081029500,"Queens County, NY",59117
36085029103,"Richmond County, NY",59111
36047029000,"Kings County, NY",59051
36081146700,"Queens County, NY",58997
34017020000,"Secaucus, NJ",58986
34013021701,"Caldwell, NJ",58974
34013015000,"Bloomfield, NJ",58947
36059406100,"West Hempstead, NY",58929
36085024402,"Richmond County, NY",58907
36081062500,"Queens County, NY",58889
36061010200,"Midtown, New York, NY",58877
34031223801,"Totowa, NJ",58873
34003037202,"New Milford, NJ",58855
36047017000,"Kings County, NY",58802
36005018400,"Bronx County, NY",58797
36081145102,"Queens County, NY",58784
36081056200,"Queens County, NY",58783
34039033200,"Union, NJ",58742
36059301300,"Port Washington, NY",58717
34003057102,"Wallington, NJ",58667
36081010100,"Queens County, NY",58666
36061008200,"Midtown, New York, NY",58634
36119002404,"Southeast Yonkers, Yonkers, NY",58605
36047025800,"Kings County, NY",58575
34013006900,"Ironbound District, Newark, NJ",58557
34027041704,"Parsippany, Parsippany-Troy Hills, NJ",58553
36005051600,"Bronx County, NY",58532
36047015700,"Kings County, NY",58480
34023002101,"Metuchen, NJ",58478
34027040804,"Montville, NJ",58438
36005013800,"Bronx County, NY",58402
36061003100,"Chinatown, New York, NY",58402
36085018702,"Richmond County, NY",58390
34003038200,"North Arlington, NJ",58380
36081013700,"Queens County, NY",58364
34013016300,"Upper Montclair, Montclair, NJ",58351
34023003102,"Woodbridge Township, NJ",58348
36047017400,"Kings County, NY",58337
36081147100,"Queens County, NY",58320
36081048900,"Queens County, NY",58310
36047027000,"Kings County, NY",58296
36047058800,"Kings County, NY",58286
36047055600,"Kings County, NY",58286
34003023301,"Hackensack, NJ",58281
34013007300,"Ironbound District, Newark, NJ",58281
36059413500,"Baldwin, NY",58255
36081012301,"Queens County, NY",58247
34013007000,"Ironbound District, Newark, NJ",58200
36081077902,"Queens County, NY",58197
34023001505,"Edison, NJ",58122
36059517302,"Glen Cove, NY",58114
36005033700,"Bronx County, NY",58097
36047018400,"Kings County, NY",58084
36081129104,"Queens County, NY",58083
36085005000,"Richmond County, NY",58072
34023002402,"Colonia, Woodbridge Township, NJ",58065
36047024600,"Kings County, NY",58061
36005032300,"Bronx County, NY",58055
36047031400,"Kings County, NY",58051
34003019306,"Fort Lee, NJ",58049
36081147900,"Queens County, NY",58040
34003013002,"Edgewater, NJ",58024
36047059401,"Kings County, NY",58005
34017010500,"Bayonne, NJ",58000
34003003200,"Bergenfield, NJ",57991
34017018701,"Hoboken, NJ",57988
36047013200,"Kings County, NY",57972
36081015100,"Queens County, NY",57969
34023000902,"South Plainfield, NJ",57964
34017013300,"Kearny, NJ",57937
36081077903,"Queens County, NY",57926
36081006201,"Queens County, NY",57925
36047062800,"Kings County, NY",57912
34023001002,"South Plainfield, NJ",57887
34017013800,"Harrison, NJ",57858
36059302200,"Roslyn Heights, NY",57836
34017019900,"Secaucus, NJ",57815
36047016200,"Kings County, NY",57805
34023002604,"Iselin, Woodbridge Township, NJ",57757
34023001701,"Edison, NJ",57743
34017012700,"Kearny, NJ",57705
36047019800,"Kings County, NY",57704
34039038601,"Scotch Plains, NJ",57695
36047030600,"Kings County, NY",57684
36119001504,"Southeast Yonkers, Yonkers, NY",57660
34003046200,"Ridgefield Park, NJ",57617
36059301101,"Port Washington, NY",57612
36061017100,"Upper West Side, New York, NY",57606
34017000100,"The Heights, Jersey City, NJ",57564
36047035400,"Kings County, NY",57523
36047005400,"Kings County, NY",57515
36059416701,"Long Beach, NY",57495
36081060100,"Queens County, NY",57492
34023002603,"Iselin, Woodbridge Township, NJ",57488
34031175601,"Passaic, NJ",57471
36047059200,"Kings County, NY",57449
36085002002,"Richmond County, NY",57442
36081137700,"Queens County, NY",57406
36047056000,"Kings County, NY",57390
36047035000,"Kings County, NY",57382
34039033900,"Roselle Park, NJ",57378
36085020100,"Richmond County, NY",57373
36081049900,"Queens County, NY",57326
36081051300,"Queens County, NY",57316
36081071306,"Queens County, NY",57297
34013019500,"Maplewood, NJ",57289
36047025600,"Kings County, NY",57274
34023002805,"Woodbridge, Woodbridge Township, NJ",57255
34023001803,"Edison, NJ",57247
34017010400,"Bayonne, NJ",57244
36081079900,"Queens County, NY",57227
36047029600,"Kings County, NY",57212
